CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GH123,2,1,1,0,1,2,0,8,0,1,0,0,0,0,0,16,5,6,5,2,20,11,5,0,1,0,1,5,10,0,26,20,30,10,0,9,2
GH125,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,2,0,1,0,1,0,3,1,1,0,1,0,0,0,0
GH126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
GH127,3,3,2,1,1,1,0,15,1,3,1,0,1,0,3,23,13,18,8,2,22,15,38,0,4,0,7,13,37,2,78,10,114,55,0,99,18
GH128,4,4,4,0,0,3,1,0,0,0,0,0,0,0,0,2,0,3,1,2,2,1,3,0,0,1,1,0,3,1,6,1,5,3,0,14,0
GH129,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,1,1,0,1,5,4,6,0,0,0,3,8,3,0,9,11,20,11,0,14,3
GH13,9,4,5,0,1,2,0,1,0,0,0,0,0,0,0,17,13,12,4,17,44,26,105,0,8,0,3,2,36,7,10,2,10,4,1,21,5
GH130,3,4,3,0,2,3,0,3,1,3,3,3,2,1,0,15,10,17,4,10,14,12,6,0,7,0,1,9,20,1,10,6,17,6,1,12,11
GH133,1,0,0,0,0,0,0,2,1,1,2,0,2,2,1,1,2,1,5,2,9,6,7,0,1,0,1,4,5,2,2,2,6,3,0,5,5
GH135,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,1,0,0,0,0,1,0,1,1,0,4,1,0,1,0
GH136,3,4,4,1,0,4,0,11,0,0,1,0,0,0,0,10,5,4,5,2,20,16,20,0,1,1,8,10,21,5,62,1,52,21,2,41,10
GH137,1,2,0,0,1,1,0,1,0,1,0,1,0,0,0,6,4,3,1,2,4,8,8,0,0,0,2,2,13,0,6,2,9,1,0,20,3
GH138,1,1,0,0,0,2,0,4,0,0,0,0,0,0,0,30,4,3,1,2,3,1,10,0,0,0,3,5,24,1,35,8,24,12,0,15,4
GH139,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,12,7,5,2,1,3,0,4,0,2,0,1,2,11,0,29,5,35,13,0,10,4
GH13_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GH13_10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,5,18,5,1,20,7,48,0,4,0,0,0,2,0,3,0,6,0,0,5,2
GH13_11,4,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,0,0,0,1,0,4,0,0,0,0,0,0,2,2
GH13_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_13,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,2,5,0,0,0,0,0,7,2,0,0,0,0,0,0,0
GH13_14,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,0,7,8,4,23,0,8,0,0,2,2,0,3,2,1,1,0,2,0
GH13_16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
GH13_18,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,1,1,1
GH13_19,5,2,3,1,1,3,0,0,0,0,0,0,0,0,0,17,10,16,1,12,0,0,9,0,2,0,0,0,7,0,1,0,0,0,1,3,2
GH13_2,7,1,2,1,0,3,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,2,7,0,0,0,0,0,8,4,1,0,0,1,0,0,0
GH13_20,4,0,0,0,0,0,0,2,0,0,0,0,1,0,1,8,3,7,3,5,19,13,31,0,2,0,2,0,8,1,4,1,2,2,0,15,6
GH13_23,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,5,0,0,0,2,1,0,0,0
GH13_24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
GH13_27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GH13_3,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,2,1,1,1,1,0,0,2,0,0,0,3,1,0,0,2,1,0,3,1
GH13_31,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GH13_32,9,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,4,5,0,0,0,0,0,0,0
GH13_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,6,2,0,0,0
GH13_36,7,3,1,0,1,3,0,2,0,0,1,0,1,2,5,3,6,5,9,6,10,8,33,0,16,0,0,0,19,1,5,1,6,2,0,20,4
GH13_37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GH13_38,11,8,1,0,2,3,0,0,0,0,0,0,1,1,1,21,13,21,3,5,1,0,4,0,4,0,0,0,14,3,0,0,0,1,0,6,3
GH13_39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GH13_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0
GH13_41,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
GH13_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH13_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,10,1,0,0,0,0,0,1,0
GH13_6,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0
GH13_7,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,4,3,2,7,0,1,0,0,0,2,0,0,1,4,5,0,2,0
GH13_8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
GH13_9,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,7,0,0,0,0,1,1,0,1,0,2,0,0,0,0
GH14,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
GH140,2,0,3,0,0,0,3,10,0,3,4,1,1,1,4,23,9,6,7,16,16,6,35,0,1,0,6,11,65,2,47,11,48,24,0,57,21
