CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GT24,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GT25,122,125,131,21,29,56,9,2,3,5,3,4,4,4,5,17,18,51,2,113,8,7,67,11,15,16,11,8,42,29,145,27,178,152,11,374,22
GT26,519,591,488,120,179,214,92,66,69,81,93,104,80,86,88,221,176,256,122,271,296,263,421,89,85,135,152,128,415,76,342,132,613,295,42,530,169
GT27,48,44,49,5,4,12,4,16,3,8,5,1,11,6,4,36,20,22,24,25,49,49,71,0,8,8,4,19,32,4,80,46,92,74,3,156,17
GT28,1019,1103,871,310,333,426,390,343,149,250,194,242,186,161,165,312,325,318,247,363,655,614,860,136,125,298,296,258,620,190,542,285,919,603,126,975,319
GT29,1,0,1,0,0,0,0,1,0,5,0,2,1,0,2,0,0,0,0,1,0,0,8,0,0,0,0,0,1,1,7,3,14,7,0,33,7
GT2_Cellulose_synt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GT2_Chitin_synth_1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT2_Chitin_synth_2,7,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0
GT2_Glyco_tranf_2_2,9,14,13,2,5,8,0,1,0,2,2,1,1,4,0,6,1,1,1,6,3,2,8,0,1,3,2,2,7,5,1,3,10,4,0,15,5
GT2_Glyco_tranf_2_3,171,233,242,54,48,93,78,100,20,51,52,42,46,55,51,108,111,121,118,254,422,332,333,18,51,94,125,90,311,58,257,156,428,178,54,336,89
GT2_Glyco_tranf_2_4,55,65,47,11,31,34,5,1,3,1,1,0,0,0,0,37,39,93,7,152,10,5,15,2,36,7,3,5,47,19,19,1,33,14,5,53,3
