TAXA	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
Oxygen	oxic	oxic	oxic	oxic	oxic	oxic	oxic	anoxic	oxic	anoxic	anoxic	oxic	anoxic	anoxic	anoxic	oxic	oxic	oxic	oxic	oxic	anoxic	anoxic	anoxic	oxic	anoxic	oxic	oxic	anoxic	oxic	oxic	anoxic	anoxic	anoxic	anoxic	oxic	anoxic	anoxic
Chlamydiia	0.074939	0.066559	0.065756	0.064798	0.059185	0.067598	0.021451	0.078997	0.04813	0.084349	0.075515	0.055996	0.092894	0.080712	0.084028	0.072967	0.063199	0.04816	0.051697	0.015328	0.082642	0.076435	0.136535	0.024525	0.101392	0.043534	0.05716	0.122597	0.049759	0.047201	0.302949	0.349657	0.228916	0.170748	0.05464	0.14982	0.119528
Chlorobia	0.142049	0.13883	0.136332	0.126976	0.128699	0.134683	0.089223	0.234531	0.166054	0.251213	0.270974	0.189898	0.296553	0.292336	0.291369	0.134855	0.176332	0.110229	0.224246	0.035426	0.233568	0.185387	0.307083	0.068956	0.282645	0.120537	0.169031	0.278499	0.165537	0.150267	0.187816	0.227225	0.197174	0.181373	0.148534	0.271408	0.338257
Anaerolineae	0.038965	0.042483	0.04209	0.039133	0.038876	0.04045	0.027266	0.085013	0.072035	0.223486	0.322764	0.107864	0.247152	0.288837	0.245564	0.051885	0.083415	0.033684	0.080793	0.009174	0.108495	0.087401	0.086382	0.020551	0.119801	0.035637	0.074378	0.145978	0.079253	0.058652	0.083326	0.142542	0.143178	0.080107	0.043328	0.166704	0.156718
Ardenticatenia	0.034162	0.040103	0.04643	0.040667	0.040606	0.039327	0.05166	0.082091	0.088523	0.17758	0.379143	0.110925	0.310841	0.358239	0.318199	0.01975	0.041993	0.020508	0.06378	0.00736	0.082836	0.066888	0.058124	0.028941	0.059608	0.057206	0.077918	0.104128	0.081439	0.063453	0.064144	0.071348	0.053668	0.041936	0.053142	0.092114	0.100441
Caldilineae	0.021843	0.024378	0.026515	0.024131	0.023612	0.02428	0.02467	0.045099	0.041834	0.085517	0.147901	0.049117	0.120585	0.139211	0.127437	0.016673	0.024959	0.014962	0.038147	0.006994	0.0416	0.034619	0.027863	0.016679	0.027718	0.028805	0.040577	0.05433	0.042927	0.030908	0.023819	0.045991	0.035519	0.024312	0.029393	0.044809	0.049567
Candidatus_Thermofonsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000004	0	0	0	0	0	0	0	0
Chloroflexia	0.078478	0.08558	0.088173	0.083383	0.082821	0.084093	0.068845	0.130094	0.120059	0.184543	0.241984	0.128536	0.23194	0.23648	0.233386	0.053311	0.082443	0.053878	0.103646	0.021519	0.11361	0.090713	0.090721	0.046367	0.09591	0.093091	0.121984	0.158438	0.098242	0.080059	0.096371	0.155537	0.109432	0.090237	0.090825	0.13963	0.151828
Dehalococcoidia	0.035706	0.036544	0.045159	0.038607	0.031742	0.035908	0.031451	0.38916	0.124007	0.49217	0.266385	0.149792	0.300429	0.184327	0.256524	0.034842	0.05826	0.025665	0.067926	0.010621	0.068533	0.065242	0.076992	0.029451	0.093411	0.042872	0.122542	0.336722	0.054261	0.042554	0.144573	1.049573	0.34938	0.334473	0.060004	0.211176	0.256462
Ktedonobacteria	0.05059	0.052591	0.053363	0.053401	0.049085	0.049811	0.040582	0.089039	0.066486	0.116079	0.112188	0.07708	0.115379	0.10927	0.114355	0.034154	0.048304	0.033228	0.060806	0.011867	0.057327	0.046802	0.049276	0.028669	0.067434	0.053001	0.068338	0.100254	0.052804	0.045039	0.071146	0.109931	0.080198	0.078381	0.051502	0.089202	0.092408
Tepidiformia	0.023879	0.036501	0.046074	0.03624	0.038372	0.034498	0.055855	0.040512	0.066326	0.065336	0.045067	0.044473	0.044712	0.038159	0.044941	0.009437	0.017899	0.011637	0.035661	0.005832	0.012989	0.010334	0.010276	0.031013	0.010636	0.05099	0.078007	0.047142	0.022667	0.023479	0.057221	0.051208	0.034873	0.025831	0.048996	0.026326	0.029867
Thermoflexia	0.000115	0.000137	0.000215	0.000219	0.00018	0.000207	0.000138	0.000416	0.000427	0.000751	0.004019	0.000275	0.002732	0.003295	0.002986	0.000034	0.000169	0.000075	0.000135	0.000005	0.002424	0.001818	0.000237	0.00017	0.000207	0.000312	0.000305	0.000459	0.000221	0.000191	0.000495	0.00054	0.00029	0.000127	0.000164	0.000337	0.000558
Thermomicrobia	0.033923	0.045076	0.055983	0.046804	0.04553	0.039898	0.066428	0.073162	0.085268	0.112494	0.138261	0.083822	0.115638	0.122247	0.119934	0.01755	0.030378	0.019955	0.050112	0.008697	0.045758	0.038076	0.023011	0.040423	0.02889	0.066985	0.085911	0.082064	0.04942	0.043349	0.049829	0.070746	0.05196	0.037343	0.060917	0.056474	0.058717
Chrysiogenetes	0.013303	0.012555	0.011606	0.011945	0.011914	0.011766	0.007772	0.022925	0.017875	0.022599	0.026037	0.019949	0.032528	0.025507	0.02907	0.009497	0.015456	0.008513	0.025052	0.003682	0.012438	0.0104	0.01533	0.005163	0.020616	0.010789	0.015112	0.02398	0.017037	0.015674	0.012918	0.015896	0.014278	0.009785	0.011757	0.020442	0.020449
Coprothermobacteria	0.003006	0.002915	0.002666	0.002816	0.003051	0.002966	0.001323	0.005039	0.003202	0.007005	0.007576	0.003233	0.01008	0.008014	0.008328	0.003232	0.002745	0.002279	0.002579	0.000776	0.011043	0.01146	0.004535	0.001698	0.004172	0.002562	0.00368	0.006369	0.003158	0.002893	0.00511	0.009846	0.006509	0.007724	0.003185	0.006817	0.010836
Gloeobacteria	0.03612	0.043053	0.049759	0.043286	0.041567	0.039849	0.057925	0.053829	0.0675	0.063919	0.077863	0.061602	0.065646	0.069972	0.064818	0.017799	0.028863	0.020979	0.049143	0.00839	0.026073	0.022791	0.023524	0.030504	0.02777	0.061155	0.062882	0.055288	0.042715	0.043301	0.033681	0.035018	0.033477	0.030275	0.055039	0.04301	0.047005
Deferribacteres	0.042831	0.032934	0.030914	0.031725	0.031923	0.036371	0.011078	0.070665	0.036338	0.076094	0.103367	0.048807	0.119921	0.125827	0.111056	0.053732	0.050443	0.031823	0.04563	0.009629	0.119415	0.119607	0.134884	0.012976	0.163568	0.022166	0.042201	0.098816	0.038568	0.034823	0.078938	0.107724	0.110155	0.091193	0.031431	0.116334	0.143884
Deinococci	0.351503	0.429057	0.484126	0.44555	0.423857	0.396539	0.575805	0.658612	0.712134	0.789081	0.89555	0.691246	0.782992	0.843242	0.824608	0.193426	0.322402	0.223688	0.545642	0.132688	0.389444	0.293298	0.251108	0.292299	0.279543	0.575798	0.648325	0.64	0.510925	0.517058	0.389194	0.475176	0.388009	0.338145	0.498627	0.500753	0.524836
Dictyoglomia	0.010214	0.00852	0.00793	0.008734	0.008407	0.00879	0.002846	0.015533	0.006883	0.019972	0.02056	0.010319	0.026399	0.025182	0.024945	0.011852	0.010153	0.007003	0.008039	0.001728	0.050228	0.04812	0.033263	0.002921	0.032441	0.006262	0.00897	0.025438	0.007447	0.006592	0.037275	0.032178	0.031797	0.032243	0.00548	0.03027	0.031485
Elusimicrobia	0.005254	0.004733	0.004729	0.004515	0.004023	0.005006	0.001977	0.00731	0.004375	0.007714	0.005905	0.004643	0.007495	0.006468	0.007543	0.004392	0.004475	0.002952	0.004601	0.001365	0.007253	0.005851	0.009516	0.001868	0.008498	0.002746	0.005113	0.010762	0.004103	0.003789	0.009088	0.01352	0.01009	0.010659	0.004075	0.009231	0.008162
Endomicrobia	0.004643	0.003783	0.003549	0.003868	0.003639	0.003587	0.001226	0.007735	0.003842	0.009715	0.012201	0.005228	0.017944	0.016395	0.017363	0.005509	0.004706	0.003864	0.005014	0.001032	0.007842	0.007638	0.015975	0.001427	0.015859	0.002424	0.004682	0.010922	0.003756	0.003513	0.006981	0.017702	0.013747	0.010291	0.004427	0.01277	0.009937
Chitinispirillia	0.000005	0.000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinivibrionia	0.000023	0.000031	0.000018	0.000033	0.000036	0.000039	0.000015	0.000027	0	0.000042	0.000036	0.000103	0	0	0	0.000017	0.00008	0.000045	0.00011	0	0.000003	0	0.000038	0.000034	0.000017	0	0.000038	0.00002	0.000035	0.000005	0.000011	0.000015	0.000011	0	0.000023	0.000059	0.000006
Fibrobacteria	0.009579	0.009204	0.008542	0.008657	0.008287	0.008563	0.004716	0.010304	0.007577	0.011383	0.009177	0.00994	0.009821	0.010618	0.009703	0.008053	0.007907	0.005844	0.01023	0.003151	0.008411	0.007078	0.01348	0.003227	0.010687	0.006933	0.008361	0.013917	0.007391	0.007794	0.010811	0.011374	0.01396	0.009693	0.007424	0.012838	0.01399
Bacilli	4.594209	3.997048	3.802402	3.940049	3.712685	4.134378	1.877291	5.452928	3.598983	5.786081	5.962557	4.101148	6.914567	6.664652	6.62067	4.602875	4.189274	3.301084	3.865061	2.276025	5.720291	5.127778	9.062582	1.639489	9.06387	2.911304	3.953669	7.266548	5.061487	3.247836	8.894097	8.059673	8.211263	7.716288	3.589854	8.208825	7.703266
Clostridia	2.032457	1.671393	1.630934	1.678129	1.537171	1.737799	0.884321	3.13512	1.99484	3.591748	3.940251	2.334319	4.682114	4.567979	4.435544	2.72073	2.281309	1.510276	2.261523	4.503359	3.771117	3.619122	6.621667	0.7095	7.152476	1.324794	2.089365	4.162727	1.839612	1.64031	4.720499	5.072757	5.22814	4.827392	1.607292	5.007651	4.779006
Erysipelotrichia	0.072213	0.058884	0.056546	0.059132	0.05497	0.062424	0.024859	0.084217	0.049304	0.084683	0.086187	0.054826	0.101238	0.098733	0.096992	0.089365	0.069759	0.054349	0.057165	0.412023	0.086355	0.072327	0.187177	0.02123	0.197733	0.040053	0.055308	0.112094	0.053645	0.051101	0.147539	0.125041	0.130192	0.120558	0.054453	0.143384	0.127215
Limnochordia	0.016699	0.021864	0.026835	0.024043	0.021678	0.019915	0.039136	0.048726	0.053786	0.066879	0.082558	0.052935	0.067012	0.077416	0.070986	0.009643	0.018968	0.011158	0.036992	0.004358	0.035347	0.028636	0.01302	0.020007	0.025874	0.041018	0.049534	0.051415	0.030375	0.029292	0.02197	0.036315	0.026645	0.019834	0.032367	0.033886	0.039753
