TAXA	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
Oxygen	oxic	oxic	oxic	oxic	oxic	oxic	oxic	anoxic	oxic	anoxic	anoxic	oxic	anoxic	anoxic	anoxic	oxic	oxic	oxic	oxic	oxic	anoxic	anoxic	anoxic	oxic	anoxic	oxic	oxic	anoxic	oxic	oxic	anoxic	anoxic	anoxic	anoxic	oxic	anoxic	anoxic
Betaproteobacteria	9.728496	10.739647	10.862552	10.345496	10.346524	10.147239	11.119088	9.35402	10.565903	9.162265	9.124426	10.072929	8.604496	8.672883	8.799119	4.12891	6.943298	5.180141	9.524252	5.342593	4.5059	3.504708	4.984411	6.760103	5.250425	11.038784	10.422008	8.674217	10.628156	10.495323	14.006129	23.630919	21.558752	10.893208	10.506899	7.58626	7.955139
Deltaproteobacteria	3.620637	3.81593	3.988946	3.599569	3.606865	3.583912	4.164022	7.014409	6.060184	7.503506	8.372117	6.766249	9.491644	9.811105	9.301128	2.954756	7.401617	2.352493	13.667573	1.140371	40.801769	51.958922	5.526181	2.186178	12.534148	4.531108	5.288827	6.563852	7.076365	5.629395	3.207842	4.44081	3.739269	3.482431	3.454623	7.699833	9.629419
Epsilonproteobacteria	2.642326	0.516711	0.45849	0.536791	0.469254	0.532148	0.159549	0.706135	0.3542	0.801214	1.014141	0.455431	0.980448	1.107263	0.911386	2.063729	1.062031	0.661407	0.661329	0.264193	2.044763	1.678139	11.507649	0.166174	5.218001	0.299776	0.433832	0.923131	0.463322	0.439691	1.35161	1.111491	1.151721	1.032866	0.425179	1.231086	1.171372
Gammaproteobacteria	28.872446	26.756998	23.065059	25.96423	24.543957	26.541616	13.859555	20.671781	16.151722	17.200928	18.088999	17.663018	18.152409	18.259468	17.99807	13.963927	22.506439	15.957245	22.073207	48.642937	13.411208	10.499391	23.375547	10.678877	21.082285	17.096046	16.99708	18.609187	24.165698	22.248105	17.717217	16.486982	16.2014	14.73378	19.266239	18.624234	19.830652
Hydrogenophilalia	0.012618	0.014244	0.014062	0.013501	0.014064	0.013766	0.010572	0.010395	0.011259	0.011883	0.019279	0.011866	0.015433	0.019486	0.01536	0.005449	0.009244	0.006958	0.012876	0.003496	0.006633	0.005562	0.007212	0.008662	0.009326	0.013168	0.012041	0.011201	0.012331	0.012881	0.007271	0.009646	0.007451	0.005848	0.013912	0.010126	0.010367
Oligoflexia	0.12273	0.106977	0.098769	0.106451	0.101292	0.111605	0.037337	0.114117	0.070381	0.111326	0.116741	0.085542	0.141446	0.14035	0.140754	0.121714	0.107411	0.092151	0.086389	0.033162	0.117974	0.102428	0.204861	0.039743	0.167877	0.062036	0.076357	0.144521	0.087204	0.076366	0.144457	0.155151	0.150284	0.149785	0.080614	0.171225	0.168375
Zetaproteobacteria	0.051712	0.039463	0.030777	0.030366	0.033268	0.040204	0.011686	0.03398	0.021664	0.026768	0.032476	0.026347	0.036294	0.033237	0.034491	0.022371	0.044328	0.020837	0.037776	0.007344	0.023701	0.017732	0.039088	0.013384	0.058591	0.018906	0.022039	0.031668	0.035662	0.03273	0.021912	0.025295	0.02388	0.019017	0.026091	0.034018	0.046625
Rhodothermia	0	0	0	0	0	0	0.000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000009	0	0	0	0.000011	0	0	0	0	0	0	0
Spirochaetia	0.350988	0.291881	0.281096	0.284658	0.266874	0.302859	0.131271	0.453266	0.272079	0.489043	0.507373	0.334771	0.62519	0.58638	0.590005	0.429584	0.357513	0.247514	0.342495	0.085064	0.519968	0.481482	1.101944	0.113387	0.737201	0.205648	0.312458	0.627561	0.299498	0.272701	0.811079	0.877244	0.682824	0.610112	0.264841	0.762186	0.713448
Synergistia	0.035132	0.037471	0.040737	0.039144	0.037363	0.037859	0.03651	0.087357	0.070648	0.114787	0.12229	0.074054	0.123465	0.123956	0.119423	0.029754	0.043936	0.024671	0.062474	0.072687	0.098275	0.084538	0.054333	0.019804	0.068485	0.047849	0.065166	0.094523	0.048774	0.044308	0.056541	0.093757	0.082755	0.068216	0.04012	0.089959	0.09722
Mollicutes	0.322581	0.230424	0.225506	0.24432	0.206404	0.251323	0.063479	0.281575	0.14375	0.269142	0.274424	0.18522	0.357731	0.33318	0.327942	0.368529	0.239263	0.212006	0.176358	0.076544	0.431839	0.422959	1.143032	0.071741	0.936244	0.126313	0.186008	0.480385	0.184969	0.199715	0.900801	0.668679	0.674754	0.624858	0.213784	0.693876	0.409016
Thermodesulfobacteria	0.043741	0.037279	0.037302	0.038333	0.03573	0.038933	0.021359	0.112235	0.065098	0.127087	0.204244	0.084475	0.200299	0.250556	0.194887	0.047054	0.059829	0.029984	0.070058	0.008664	1.852743	1.067943	0.131982	0.017018	0.218366	0.044149	0.072779	0.131662	0.057419	0.047551	0.096503	0.163392	0.12486	0.120455	0.037356	0.14655	0.191794
Thermotogae	0.107381	0.089488	0.09126	0.09112	0.081043	0.09308	0.039019	0.165929	0.096207	0.196426	0.220926	0.116876	0.263951	0.268212	0.253813	0.134494	0.11825	0.080305	0.108095	0.024593	0.462424	0.43545	0.548951	0.038316	0.313139	0.067812	0.108648	0.232675	0.091116	0.077219	0.278429	0.290023	0.323858	0.274891	0.09017	0.277917	0.277809
Methylacidiphilae	0.014443	0.012743	0.011556	0.012328	0.012142	0.013795	0.005043	0.017334	0.011099	0.019764	0.029168	0.013173	0.037918	0.038362	0.034138	0.013227	0.01182	0.010007	0.011696	0.002154	0.030965	0.031228	0.02652	0.004348	0.028528	0.009081	0.011749	0.025658	0.010852	0.010174	0.020537	0.023628	0.021789	0.019707	0.011312	0.026776	0.030888
Opitutae	0.191049	0.221912	0.227459	0.203138	0.222377	0.226767	0.200249	0.258867	0.276402	0.279274	0.257884	0.273582	0.257638	0.241647	0.259902	0.142607	0.18062	0.184174	0.265561	0.037042	0.102816	0.083591	0.140416	0.112164	0.134385	0.223912	0.242939	0.267517	0.229917	0.253689	0.148814	0.17736	0.148324	0.143742	0.202706	0.224297	0.238011
Spartobacteria	0.002556	0.00249	0.002533	0.002257	0.002534	0.003065	0.001063	0.003094	0.002828	0.003336	0.002597	0.002064	0.00432	0.002888	0.003496	0.00318	0.002576	0.00343	0.002545	0.000354	0.005707	0.004303	0.004908	0.000645	0.002844	0.002204	0.003185	0.004073	0.002017	0.001945	0.002808	0.003719	0.00554	0.003845	0.002178	0.003401	0.003662
Verrucomicrobiae	0.086444	0.098633	0.098279	0.089421	0.116113	0.117961	0.076867	0.114778	0.111361	0.127045	0.144522	0.111373	0.132696	0.135225	0.135412	0.10792	0.098729	0.157486	0.126709	0.418178	0.059922	0.055343	0.061815	0.051292	0.078224	0.091612	0.100388	0.127569	0.096117	0.104348	0.079301	0.087661	0.082683	0.074801	0.092324	0.105725	0.10465
