TAX_ID,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
TAX_ID_589449,0.013383,0.006052,0.003091,0.002647,0.006858,0.014915,0.000653,0.000513,0,0,0.001048,0.000871,0,0.001269,0,0.020292,0.04356,0.003335,0.001935,0.000198,0.000666,0.003138,0.004726,0.002041,0.004145,0,0.000282,0.005275,0.006294,0.048105,0.00066,0,0.001743,0.0017,0.000958,0.002413,0.003577
TAX_ID_5977,0,0,0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0.000863,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_5988,0,0.000082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432,0,0,0,0,0,0,0,0,0,0,0,0.001319,0,0,0,0,0,0,0,0,0
TAX_ID_6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6015,0.000409,0.000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6020,0.002963,0.001227,0.002029,0.000963,0.004064,0.000829,0,0.001025,0,0,0,0.000871,0.00118,0.001269,0.003704,0.003886,0.000773,0.002501,0.00086,0.00168,0.002996,0.00362,0.013957,0,0.001382,0.000557,0.000282,0.001978,0.001597,0.001336,0.009675,0.004328,0.00249,0.007932,0.001437,0.007066,0.003953
TAX_ID_6042,0.001328,0.001145,0.001352,0.001925,0.000508,0.000621,0.000373,0.004101,0.00127,0.001242,0.001048,0.000871,0.00118,0.001269,0.001235,0.001727,0,0.001667,0.00129,0.000099,0.001498,0.001207,0.00044,0,0.000691,0.000557,0.000564,0.001319,0.00047,0.001336,0.004618,0.002885,0.002241,0.003399,0.001437,0.005171,0.001506
TAX_ID_6074,0.000613,0.000245,0.000193,0.000241,0,0.000207,0,0,0,0,0,0,0,0,0,0.000432,0,0.000556,0,0.000099,0,0,0.00011,0,0,0.000372,0,0.001319,0,0.000891,0,0.000721,0.000249,0.000567,0,0.000689,0.000753
TAX_ID_60882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6101,0.001532,0.00139,0.001932,0.001925,0.000508,0.000829,0.000373,0.002051,0,0.002483,0,0.000871,0.00118,0.001269,0,0.001727,0.001289,0.000556,0.00043,0.000395,0.001831,0.001931,0.003627,0.002041,0,0.001487,0.000282,0.001978,0.000752,0.001893,0.002859,0.001443,0.00498,0.005666,0.000479,0.001724,0.003012
TAX_ID_6137,0,0,0,0,0,0,0,0.000256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223,0.00044,0,0.000498,0,0,0,0
TAX_ID_6142,0.000306,0.000409,0.000386,0,0.000254,0.000829,0,0,0,0,0,0,0,0,0,0,0.000516,0.000278,0.00043,0.000099,0,0,0.000769,0,0.001382,0,0.00141,0.003956,0.00047,0.000445,0.00088,0,0.000249,0,0.000479,0.003275,0.002259
TAX_ID_6178,0.000511,0,0.000097,0.000241,0.001016,0.000621,0.000186,0.000513,0,0,0.001048,0.001742,0.00118,0,0,0,0,0,0.000215,0,0,0.000241,0.00033,0.001021,0,0,0.000564,0.001319,0.000282,0.000334,0.00044,0,0.000747,0.001133,0,0.002068,0.003765
TAX_ID_61986,0,0.000082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432,0.000258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010579,0,0,0,0,0,0,0
TAX_ID_6225,0,0,0.000097,0,0,0.000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000659,0,0,0.00022,0,0,0.011898,0,0,0
TAX_ID_62907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6341,0.001226,0.007687,0.002801,0.003851,0.006604,0.002693,0.000373,0.001794,0,0,0,0.001742,0.00472,0,0.001235,0.004749,0.003609,0.003891,0.000645,0.000099,0.001998,0.003379,0.001648,0.001021,0.000691,0.013379,0.001973,0.001978,0.012306,0.005011,0.002639,0.002164,0.002739,0.001133,0.003832,0.003619,0.001883
TAX_ID_63448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_641853,0,0,0,0.000241,0.000254,0,0.00028,0.000256,0,0,0,0,0,0.001269,0.001235,0,0.000516,0,0,0,0.000166,0.000241,0.00044,0,0,0,0.000282,0.000659,0.000094,0.000223,0,0,0.000249,0.001133,0,0.001034,0
TAX_ID_6448,0.004699,0.004334,0.00512,0.003851,0.004064,0.005593,0.001399,0.005383,0.003809,0.003725,0.005239,0.005227,0.00236,0.002539,0.001235,0.011657,0.003866,0.002501,0.00215,0.000988,0.006159,0.004827,0.023078,0,0.002763,0.002973,0.001128,0.007253,0.0031,0.003341,0.007476,0.019476,0.007969,0.011898,0.001437,0.015684,0.008472
TAX_ID_649775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6544,0.001737,0.00368,0.001546,0.001444,0.001016,0.001243,0.000466,0.002307,0,0.002483,0.002096,0.001742,0.00118,0,0,0.010794,0.004897,0.019453,0.002795,0.01067,0.003329,0.003379,0.009451,0,0.001382,0.001301,0.000846,0.003297,0.003476,0.003341,0.004618,0.013706,0.003237,0.006799,0.001916,0.003619,0.002447
TAX_ID_65574,0.000204,0.000245,0.000097,0,0,0,0,0.000256,0,0,0,0,0,0,0,0,0,0,0,0,0.000333,0.000241,0,0,0,0,0,0,0,0.000111,0.00044,0.000721,0,0,0.000479,0.000517,0.000565
TAX_ID_65582,0.000204,0.000572,0,0.000722,0,0.000207,0,0,0,0,0,0.000871,0,0,0,0,0,0,0,0,0,0,0.00011,0,0,0.000186,0,0,0,0,0,0.000721,0.000249,0,0,0.896927,0.001883
TAX_ID_658449,0.000102,0,0.000097,0,0,0.000207,0,0.000256,0,0,0,0,0,0,0,0,0.000258,0,0,0,0,0.000241,0.00044,0,0,0,0,0,0.000094,0,0,0,0.000498,0.001133,0,0.000345,0
TAX_ID_6605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432,0,0.000834,0.00086,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0
TAX_ID_661027,0,0,0,0,0,0,0,0.000513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721,0.000498,0,0,0,0
TAX_ID_663566,0.000204,0.000327,0.000097,0,0.000254,0.000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6658,0,0,0.000097,0,0.000254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001021,0,0,0,0,0,0,0,0,0.000249,0,0,0.000172,0.000941
TAX_ID_666505,0.007049,0.005397,0.006859,0.004091,0.004318,0.005179,0.007366,0.046393,0.021584,0.029796,0.015718,0.033103,0.018882,0.021579,0.029634,0.000863,0.005155,0.000834,0.007956,0.000198,0.015981,0.019067,0.012968,0.010206,0.005527,0.012636,0.021426,0.042197,0.003758,0.005122,0.035843,0.040396,0.039096,0.038526,0.014849,0.033264,0.027486
TAX_ID_6670,0,0,0,0,0,0.000207,0,0,0,0,0,0,0,0,0,0.001727,0.000516,0.001389,0,0,0,0,0,0,0,0.000186,0,0,0,0.001782,0,0,0.000747,0,0,0,0.000188
TAX_ID_6681,0,0,0,0,0.000508,0.000207,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006908,0.000186,0,0,0.000658,0.000111,0,0,0.000498,0,0,0.001206,0.000377
TAX_ID_67799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_68337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0.000172,0
TAX_ID_6844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_6854,0.005517,0.004089,0.003284,0.005776,0.004318,0.004765,0.001212,0.009227,0.003809,0.006208,0,0.001742,0.00354,0.002539,0.002469,0.008203,0.00464,0.004446,0.00344,0.003162,0.009489,0.00893,0.012528,0.004082,0.007599,0.002416,0.003101,0.007253,0.005637,0.007238,0.027487,0.015148,0.092138,0.010198,0.007185,0.011203,0.005836
TAX_ID_693071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_72037,0,0.000409,0,0,0,0.000414,0,0,0,0,0,0,0,0,0,0,0,0.000556,0,0,0.031629,0.038376,0.000659,0.001021,0,0,0,0,0.000094,0.000445,0.00022,0,0,0,0,0,0
TAX_ID_72039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_72040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_7540,0,0.000082,0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721,0,0,0,0,0
TAX_ID_7553,0,0.000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166,0,0,0,0,0,0,0,0,0.000223,0,0,0,0,0,0,0.000188
TAX_ID_7588,0.001737,0.001717,0.001159,0.000722,0.002286,0.001243,0.000373,0.004101,0.00127,0.001242,0.001048,0.00784,0.00118,0.002539,0,0.000863,0.003609,0.000834,0.001935,0.000296,0.01648,0.009413,0.005824,0.001021,0.001382,0.000743,0.000846,0.007912,0.001409,0.004677,0.009895,0.003607,0.004233,0.004533,0.002874,0.007928,0.00433
